-82;12
48;-6
-29;-14
-74;-86
-38;32
-82;-26
61;-90
-70;-9
57;85
33;-7
-34;91
95;-83
86;-52
-80;2
-72;-20
-65;-81
11;2
4;22
-80;-11
-44;88
-75;62
17;28
21;47
30;-14
99;93
-7;89
69;-100
-77;83
-53;8
38;-35
76;-61
-28;-92
-15;1
7;-44
13;96
-88;-43
64;-61
-48;-12
-76;-55
-34;32
-38;-11
5;-21
71;-23
96;-60
10;-26
13;-82
83;-69
51;49
23;78
-47;-80
47;90
-83;36
29;-23
-79;-9
89;-28
-67;-100
-10;4
10;-50
81;27
5;-25
-59;50
46;-21
37;4
-22;76
-26;-51
-74;-31
-51;-94
84;-24
-40;36
-17;-100
-13;32
-90;-45
-54;-99
-96;-51
-33;-58
29;95
-94;-45
-85;88
7;-14
-68;-99
-59;3
75;-83
-72;92
60;55
-84;-56
75;-64
28;47
10;20
61;86
-58;96
-81;2
-34;27
-51;-96
-63;20
-99;-22
-99;17
73;12
-23;-62
51;-38
80;-21
-46;-30
-92;-46
29;26
-52;-18
-29;64
81;92
83;88
17;2
15;28
-7;24
-92;33
-31;-95
8;5
-61;39
-20;43
97;-33
45;-81
84;-19
82;16
92;-3
3;57
-5;-92
-73;64
4;79
68;1
25;43
-33;38
54;-64
28;-17
39;71
53;4
23;93
13;65
-36;-98
79;95
89;4
-40;98
38;-19
46;86
8;-91
38;-92
-89;23
-87;71
85;-97
58;-27
-65;-40
6;97
-77;-82
-80;-80
50;78
-66;36
-58;99
6;61
37;78
46;75
21;-19
52;-58
-44;-59
69;-87
91;88
-63;20
1;72
-77;22
-7;57
38;-42
99;-7
-47;19
-99;39
87;-38
81;18
44;27
61;92
-44;87
-84;72
53;-97
-90;46
81;100
-95;32
-34;41
36;-42
-32;6
60;-56
-38;-2
69;-16
-65;41
17;89
87;2
-70;51
63;21
-58;66
-75;74
4;34
-80;70
59;-5
-57;-54
-35;19
-57;-6
-27;-26
98;-25
24;-88
